step,action_pred,action_opt,reward,TP,FP,FN,TN
129,1,0,-0.39466530084609985,29,33,27,30
131,1,1,0.5672264695167542,30,33,27,30
132,0,1,-0.7785139083862305,30,33,28,30
133,1,0,-0.31518393754959106,30,34,28,30
134,1,0,-0.27774208784103394,30,35,28,30
135,1,1,0.6495217084884644,31,35,28,30
136,1,1,0.6517466306686401,32,35,28,30
137,0,0,0.04860709235072136,32,35,28,31
138,0,0,0.03634568303823471,32,35,28,32
139,0,0,0.14738890528678894,32,35,28,33
140,0,1,-0.7419167757034302,32,35,29,33
141,0,1,-0.5144228935241699,32,35,30,33
142,0,0,0.6627979874610901,32,35,30,34
143,0,1,-0.721918523311615,32,35,31,34
144,0,0,0.5799024701118469,32,35,31,35
145,1,1,0.6977767944335938,33,35,31,35
146,1,1,0.5880030393600464,34,35,31,35
147,0,0,0.19294945895671844,34,35,31,36
149,0,1,-0.5331102609634399,34,35,32,36
150,0,1,-0.7257277369499207,34,35,33,36
151,0,0,0.9185150265693665,34,35,33,37
152,0,0,-0.09965597093105316,34,35,33,38
153,1,1,0.5529871582984924,35,35,33,38
154,0,0,0.1189122349023819,35,35,33,39
155,0,1,-0.7571192383766174,35,35,34,39
156,1,1,0.735442578792572,36,35,34,39
157,1,1,0.6094688773155212,37,35,34,39
158,1,0,-0.484261691570282,37,36,34,39
159,0,0,-0.020186003297567368,37,36,34,40
160,0,0,0.11930464953184128,37,36,34,41
161,0,0,0.12487810105085373,37,36,34,42
162,0,0,0.9336519837379456,37,36,34,43
163,1,1,0.6430351138114929,38,36,34,43
164,1,0,-1.0348981618881226,38,37,34,43
166,0,0,0.06309400498867035,38,37,34,44
167,1,0,-0.07490324974060059,38,38,34,44
168,0,0,0.01846848987042904,38,38,34,45
169,1,1,0.7040425539016724,39,38,34,45
170,0,1,-0.8097481727600098,39,38,35,45
171,1,0,-0.41047966480255127,39,39,35,45
172,0,0,0.211509108543396,39,39,35,46
173,1,1,0.6870744824409485,40,39,35,46
174,0,0,0.5151770114898682,40,39,35,47
175,1,0,-0.7346593141555786,40,40,35,47
176,0,1,-0.7508650422096252,40,40,36,47
177,1,1,0.6297427415847778,41,40,36,47
178,0,1,-0.7172273993492126,41,40,37,47
179,1,1,0.5476970672607422,42,40,37,47
180,0,1,-0.8478718996047974,42,40,38,47
181,0,1,-0.11962965875864029,42,40,39,47
182,1,0,-1.0427128076553345,42,41,39,47
183,0,0,0.5298299789428711,42,41,39,48
184,0,1,-0.8057452440261841,42,41,40,48
185,0,1,-0.7225168347358704,42,41,41,48
186,0,1,-0.7004128694534302,42,41,42,48
187,0,0,0.594624936580658,42,41,42,49
188,1,0,-0.1802760511636734,42,42,42,49
189,1,0,-0.061079107224941254,42,43,42,49
190,1,1,0.6569693684577942,43,43,42,49
191,1,1,0.545608639717102,44,43,42,49
192,0,1,-0.8000190258026123,44,43,43,49
193,0,0,0.020927315577864647,44,43,43,50
195,0,0,0.0448053777217865,44,43,43,51
197,0,0,0.49492383003234863,44,43,43,52
198,1,1,0.5180614590644836,45,43,43,52
199,0,0,-0.046869564801454544,45,43,43,53
200,0,0,0.19615037739276886,45,43,43,54
201,0,0,0.4129996597766876,45,43,43,55
202,1,0,-0.5904558897018433,45,44,43,55
203,0,0,0.5370165109634399,45,44,43,56
204,0,1,-0.7437554597854614,45,44,44,56
205,1,1,0.38809648156166077,46,44,44,56
206,1,1,0.3845726251602173,47,44,44,56
207,1,1,0.5977044105529785,48,44,44,56
208,1,1,0.5423169136047363,49,44,44,56
209,1,0,-0.11073430627584457,49,45,44,56
210,0,0,-0.060981184244155884,49,45,44,57
211,0,0,-0.06920050084590912,49,45,44,58
212,0,0,0.08254256844520569,49,45,44,59
213,0,1,-0.48601165413856506,49,45,45,59
214,0,1,-0.5289672613143921,49,45,46,59
216,1,1,0.07850553840398788,50,45,46,59
217,1,0,-0.8528021574020386,50,46,46,59
218,1,0,-0.7210814952850342,50,47,46,59
219,0,1,-0.8172897100448608,50,47,47,59
220,1,1,0.7172428965568542,51,47,47,59
221,0,0,0.25572389364242554,51,47,47,60
222,0,0,0.527398407459259,51,47,47,61
223,0,0,0.061696380376815796,51,47,47,62
224,0,0,2.2029107640264556e-05,51,47,47,63
225,0,1,-0.8067560195922852,51,47,48,63
226,0,0,0.5792348384857178,51,47,48,64
227,1,0,-0.7240893840789795,51,48,48,64
228,0,0,0.23782606422901154,51,48,48,65
229,1,1,0.5654569864273071,52,48,48,65
230,1,0,-0.7517946362495422,52,49,48,65
231,0,0,-0.02595609612762928,52,49,48,66
232,0,1,-0.8069267868995667,52,49,49,66
233,1,0,-0.8599097728729248,52,50,49,66
234,1,0,-0.4186498820781708,52,51,49,66
235,1,1,0.4572731554508209,53,51,49,66
236,1,1,0.6805495023727417,54,51,49,66
237,0,1,-0.21974463760852814,54,51,50,66
238,0,1,-0.5783580541610718,54,51,51,66
239,0,0,0.9232479929924011,54,51,51,67
240,1,0,-0.4091605246067047,54,52,51,67
241,0,1,-0.5793802738189697,54,52,52,67
242,1,0,-0.699173629283905,54,53,52,67
243,1,0,-0.3599087595939636,54,54,52,67
245,1,1,0.45534980297088623,55,54,52,67
246,1,0,-0.14932923018932343,55,55,52,67
247,0,0,-0.01871406100690365,55,55,52,68
248,1,1,0.7239145636558533,56,55,52,68
249,0,0,0.5247730612754822,56,55,52,69
250,0,0,0.05341145023703575,56,55,52,70
251,0,1,-0.5763197541236877,56,55,53,70
252,1,1,0.1557079255580902,57,55,53,70
253,1,1,0.6837812662124634,58,55,53,70
254,0,1,-0.8152883648872375,58,55,54,70
256,1,0,-0.026244476437568665,58,56,54,70
257,1,0,-0.0927995964884758,58,57,54,70
258,1,1,0.5990601181983948,59,57,54,70
259,1,1,0.5687893629074097,60,57,54,70
260,0,0,0.5278809666633606,60,57,54,71
261,0,0,0.0030918677803128958,60,57,54,72
262,1,0,-0.7256874442100525,60,58,54,72
263,1,1,0.6950531601905823,61,58,54,72
264,1,1,0.6334315538406372,62,58,54,72
265,1,0,-0.8607218861579895,62,59,54,72
266,1,0,-0.44656166434288025,62,60,54,72
267,0,0,0.16224326193332672,62,60,54,73
270,1,1,0.7068713903427124,63,60,54,73
271,0,0,0.5488271713256836,63,60,54,74
272,0,1,-0.7789316177368164,63,60,55,74
273,1,0,-0.6258441209793091,63,61,55,74
274,0,0,0.5721974968910217,63,61,55,75
275,0,1,-0.8480786085128784,63,61,56,75
276,0,1,-0.5720022916793823,63,61,57,75
277,1,1,0.7224864363670349,64,61,57,75
279,1,1,0.6785686612129211,65,61,57,75
281,0,0,0.6382117867469788,65,61,57,76
282,0,1,-0.24532674252986908,65,61,58,76
283,0,0,0.5957255363464355,65,61,58,77
284,0,1,-0.8055697679519653,65,61,59,77
285,1,1,0.6324697732925415,66,61,59,77
286,0,1,-0.23081964254379272,66,61,60,77
287,0,0,0.3870609402656555,66,61,60,78
288,0,0,-0.0862153172492981,66,61,60,79
289,1,1,0.6109161972999573,67,61,60,79
290,0,1,-0.862955629825592,67,61,61,79
291,1,1,0.4774118661880493,68,61,61,79
292,0,0,-0.07558947056531906,68,61,61,80
293,1,0,-0.6904329061508179,68,62,61,80
294,1,1,0.7303838729858398,69,62,61,80
296,1,0,-0.39782559871673584,69,63,61,80
297,0,1,-0.5990389585494995,69,63,62,80
298,1,1,0.7524780035018921,70,63,62,80
299,1,1,0.7160268425941467,71,63,62,80
300,0,0,0.6205713152885437,71,63,62,81
301,0,0,0.5751022696495056,71,63,62,82
302,0,0,0.5695284605026245,71,63,62,83
303,1,0,-0.6565136313438416,71,64,62,83
304,1,0,-0.7602657675743103,71,65,62,83
305,0,1,-0.6216563582420349,71,65,63,83
306,1,1,0.6641207933425903,72,65,63,83
307,0,1,-0.6058271527290344,72,65,64,83
308,0,0,0.6367198824882507,72,65,64,84
310,0,0,0.5906513333320618,72,65,64,85
311,1,0,-0.7387478351593018,72,66,64,85
312,0,0,-0.004611557815223932,72,66,64,86
313,0,1,-0.8358845114707947,72,66,65,86
314,0,1,-0.71164870262146,72,66,66,86
315,1,1,0.047806691378355026,73,66,66,86
316,0,0,0.46151065826416016,73,66,66,87
317,1,0,-0.02937161922454834,73,67,66,87
318,0,0,-0.09282942116260529,73,67,66,88
319,0,0,-0.03782730549573898,73,67,66,89
320,0,0,0.3698771595954895,73,67,66,90
321,0,0,0.21646703779697418,73,67,66,91
322,0,1,-0.30914220213890076,73,67,67,91
323,1,0,-0.7079347372055054,73,68,67,91
324,1,0,-0.7155979871749878,73,69,67,91
325,1,1,0.7455976605415344,74,69,67,91
326,1,0,-0.4195149540901184,74,70,67,91
327,0,1,-0.8798301219940186,74,70,68,91
329,0,1,-0.2328769564628601,74,70,69,91
330,1,1,0.042745184153318405,75,70,69,91
331,0,0,0.6438301205635071,75,70,69,92
332,1,1,0.7680075764656067,76,70,69,92
333,1,0,-0.5719636678695679,76,71,69,92
334,1,1,0.7608603835105896,77,71,69,92
335,1,0,-0.836654543876648,77,72,69,92
336,0,0,0.5059590935707092,77,72,69,93
337,0,1,-0.26048752665519714,77,72,70,93
338,0,0,0.19042465090751648,77,72,70,94
339,0,1,-0.8178080916404724,77,72,71,94
340,1,0,-0.023990873247385025,77,73,71,94
342,1,1,0.10228677839040756,78,73,71,94
343,1,1,0.7438546419143677,79,73,71,94
344,1,1,0.7601031064987183,80,73,71,94
345,1,1,0.08092352747917175,81,73,71,94
346,1,0,-0.059445228427648544,81,74,71,94
347,0,0,0.6238910555839539,81,74,71,95
348,0,1,-0.8391030430793762,81,74,72,95
349,0,1,-0.18286728858947754,81,74,73,95
350,1,1,0.7892712354660034,82,74,73,95
351,1,0,-0.5297532081604004,82,75,73,95
352,1,0,-0.30247753858566284,82,76,73,95
353,0,0,0.5377634167671204,82,76,73,96
354,0,1,-0.8699904680252075,82,76,74,96
