route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
OCESN-87581009-87391003,97,OCESN12254F1187_F:OUI:OCESN-87581009-87391003:87581009:87391003:2:1256:20260514,12254,1.0,500,
OCESN-87581009-87391003,356,OCESN12254F1187_F:OUI:OCESN-87581009-87391003:87581009:87391003:2:1255:20260828,12254,1.0,501,
OCESN-87391003-87581009,357,OCESN12255F1187_F:OUI:OCESN-87391003-87581009:87391003:87581009:2:1314:20260702,12255,0.0,502,
OCESN-87391003-87581009,350,OCESN12255F1187_F:OUI:OCESN-87391003-87581009:87391003:87581009:2:1314:20260512,12255,0.0,503,
OCESN-87581009-87391003,358,OCESN12258F1187_F:OUI:OCESN-87581009-87391003:87581009:87391003:2:1556:20260327,12258,1.0,504,
OCESN-87581009-87391003,359,OCESN12258F1187_F:OUI:OCESN-87581009-87391003:87581009:87391003:2:1603:20260702,12258,1.0,505,
OCESN-87581009-87391003,317,OCESN12258F1187_F:OUI:OCESN-87581009-87391003:87581009:87391003:2:1603:20260703,12258,1.0,506,
OCESN-87581009-87391003,360,OCESN12258F1187_F:OUI:OCESN-87581009-87391003:87581009:87391003:2:1555:20260619,12258,1.0,507,
OCESN-87581009-87391003,340,OCESN12258F1187_F:OUI:OCESN-87581009-87391003:87581009:87391003:2:1604:20260513,12258,1.0,508,
OCESN-87581009-87391003,198,OCESN12260F1187_F:OUI:OCESN-87581009-87391003:87581009:87391003:2:1655:20260306,12260,1.0,509,
OCESN-87581009-87391003,361,OCESN12260F1187_F:OUI:OCESN-87581009-87391003:87581009:87391003:3:1726:20260327,12260,1.0,510,
OCESN-87581009-87391003,4,OCESN12260F1187_F:OUI:OCESN-87581009-87391003:87581009:87391003:3:1716:20260827,12260,1.0,511,
OCESN-87581009-87391003,38,OCESN12260F1187_F:OUI:OCESN-87581009-87391003:87581009:87391003:3:1715:20260823,12260,1.0,512,
OCESN-87581009-87391003,362,OCESN12260F1187_F:OUI:OCESN-87581009-87391003:87581009:87391003:2:1655:20260320,12260,1.0,513,
OCESN-87581009-87391003,363,OCESN12260F1187_F:OUI:OCESN-87581009-87391003:87581009:87391003:3:1718:20260329,12260,1.0,514,
OCESN-87581009-87391003,10,OCESN12260F1187_F:OUI:OCESN-87581009-87391003:87581009:87391003:2:1656:20260304,12260,1.0,515,
OCESN-87581009-87391003,364,OCESN12260F1187_F:OUI:OCESN-87581009-87391003:87581009:87391003:3:1716:20260702,12260,1.0,516,
OCESN-87581009-87391003,176,OCESN12260F1187_F:OUI:OCESN-87581009-87391003:87581009:87391003:3:1716:20260525,12260,1.0,517,
