trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled
OCESN12254F1187_F:OUI:OCESN-87581009-87391003:87581009:87391003:2:1258:20260513,10:47:00,10:47:00,StopPoint:OCETGV INOUI-87581009,0,,0,1,
OCESN12254F1187_F:OUI:OCESN-87581009-87391003:87581009:87391003:2:1258:20260506,10:47:00,10:47:00,StopPoint:OCETGV INOUI-87581009,0,,0,1,
OCESN12254F1187_F:OUI:OCESN-87581009-87391003:87581009:87391003:2:1258:20260510,10:39:00,10:39:00,StopPoint:OCETGV INOUI-87581009,0,,0,1,
OCESN12254F1187_F:OUI:OCESN-87581009-87391003:87581009:87391003:2:1259:20260525,10:47:00,10:47:00,StopPoint:OCETGV INOUI-87581009,0,,0,1,
OCESN12254F1187_F:OUI:OCESN-87581009-87391003:87581009:87391003:2:1255:20260831,10:47:00,10:47:00,StopPoint:OCETGV INOUI-87581009,0,,0,1,
OCESN12254F1187_F:OUI:OCESN-87581009-87391003:87581009:87391003:2:1409:20260515,10:47:00,10:47:00,StopPoint:OCETGV INOUI-87581009,0,,0,1,
OCESN12254F1187_F:OUI:OCESN-87581009-87391003:87581009:87391003:2:1256:20260514,09:55:00,09:55:00,StopPoint:OCETGV INOUI-87581009,0,,0,1,
OCESN12254F1187_F:OUI:OCESN-87581009-87391003:87581009:87391003:2:1258:20260425,10:47:00,10:47:00,StopPoint:OCETGV INOUI-87581009,0,,0,1,
OCESN12254F1187_F:OUI:OCESN-87581009-87391003:87581009:87391003:2:1255:20260828,10:47:00,10:47:00,StopPoint:OCETGV INOUI-87581009,0,,0,1,
OCESN12255F1187_F:OUI:OCESN-87391003-87581009:87391003:87581009:2:1314:20260512,13:14:00,13:14:00,StopPoint:OCETGV INOUI-87581009,1,,1,0,
OCESN12255F1187_F:OUI:OCESN-87391003-87581009:87391003:87581009:2:1314:20260831,13:14:00,13:14:00,StopPoint:OCETGV INOUI-87581009,1,,1,0,
OCESN12255F1187_F:OUI:OCESN-87391003-87581009:87391003:87581009:2:1314:20260702,13:14:00,13:14:00,StopPoint:OCETGV INOUI-87581009,1,,1,0,
OCESN12258F1187_F:OUI:OCESN-87581009-87391003:87581009:87391003:2:1603:20260702,13:48:00,13:48:00,StopPoint:OCETGV INOUI-87581009,0,,0,1,
OCESN12258F1187_F:OUI:OCESN-87581009-87391003:87581009:87391003:2:1603:20260831,13:48:00,13:48:00,StopPoint:OCETGV INOUI-87581009,0,,0,1,
OCESN12258F1187_F:OUI:OCESN-87581009-87391003:87581009:87391003:2:1555:20260619,13:46:00,13:46:00,StopPoint:OCETGV INOUI-87581009,0,,0,1,
OCESN12258F1187_F:OUI:OCESN-87581009-87391003:87581009:87391003:2:1604:20260513,13:48:00,13:48:00,StopPoint:OCETGV INOUI-87581009,0,,0,1,
OCESN12258F1187_F:OUI:OCESN-87581009-87391003:87581009:87391003:2:1556:20260327,13:46:00,13:46:00,StopPoint:OCETGV INOUI-87581009,0,,0,1,
OCESN12260F1187_F:OUI:OCESN-87581009-87391003:87581009:87391003:2:1655:20260306,14:46:00,14:46:00,StopPoint:OCETGV INOUI-87581009,0,,0,1,
OCESN12260F1187_F:OUI:OCESN-87581009-87391003:87581009:87391003:3:1726:20260327,14:46:00,14:46:00,StopPoint:OCETGV INOUI-87581009,0,,0,1,
OCESN12260F1187_F:OUI:OCESN-87581009-87391003:87581009:87391003:3:1716:20260827,14:46:00,14:46:00,StopPoint:OCETGV INOUI-87581009,0,,0,1,
OCESN12260F1187_F:OUI:OCESN-87581009-87391003:87581009:87391003:3:1715:20260830,14:46:00,14:46:00,StopPoint:OCETGV INOUI-87581009,0,,0,1,
OCESN12260F1187_F:OUI:OCESN-87581009-87391003:87581009:87391003:3:1718:20260329,14:46:00,14:46:00,StopPoint:OCETGV INOUI-87581009,0,,0,1,
OCESN12260F1187_F:OUI:OCESN-87581009-87391003:87581009:87391003:3:1716:20260702,14:46:00,14:46:00,StopPoint:OCETGV INOUI-87581009,0,,0,1,
OCESN12260F1187_F:OUI:OCESN-87581009-87391003:87581009:87391003:3:1716:20260831,14:46:00,14:46:00,StopPoint:OCETGV INOUI-87581009,0,,0,1,
OCESN12260F1187_F:OUI:OCESN-87581009-87391003:87581009:87391003:3:1716:20260714,14:46:00,14:46:00,StopPoint:OCETGV INOUI-87581009,0,,0,1,
OCESN12260F1187_F:OUI:OCESN-87581009-87391003:87581009:87391003:3:1716:20260406,14:44:00,14:44:00,StopPoint:OCETGV INOUI-87581009,0,,0,1,
OCESN12260F1187_F:OUI:OCESN-87581009-87391003:87581009:87391003:3:1716:20260517,14:43:00,14:43:00,StopPoint:OCETGV INOUI-87581009,0,,0,1,
OCESN12260F1187_F:OUI:OCESN-87581009-87391003:87581009:87391003:3:1719:20260503,14:46:00,14:46:00,StopPoint:OCETGV INOUI-87581009,0,,0,1,
OCESN12260F1187_F:OUI:OCESN-87581009-87391003:87581009:87391003:3:1719:20260426,14:46:00,14:46:00,StopPoint:OCETGV INOUI-87581009,0,,0,1,
OCESN12260F1187_F:OUI:OCESN-87581009-87391003:87581009:87391003:3:1719:20260424,14:46:00,14:46:00,StopPoint:OCETGV INOUI-87581009,0,,0,1,
OCESN12260F1187_F:OUI:OCESN-87581009-87391003:87581009:87391003:3:1718:20260308,14:46:00,14:46:00,StopPoint:OCETGV INOUI-87581009,0,,0,1,
OCESN12260F1187_F:OUI:OCESN-87581009-87391003:87581009:87391003:3:1714:20260703,14:46:00,14:46:00,StopPoint:OCETGV INOUI-87581009,0,,0,1,
