episode,expected_action,optimal_action,car_time,train_time,time_difference,car_faster,traffic,dist_to_station,dist_to_dest,reward_received
0,0,Car,21.695607359862827,47.34425246243508,25.648645102572253,1,0.4344911872468612,1.944343123481163,7.442790097924137,0.5417478103160033
1,0,Car,44.35139994635774,81.04615992325061,36.694759976892875,1,0.28392030348934433,1.7016458209360685,21.670123886994325,0.4527637091213478
2,0,Car,20.400966833060203,21.799843776041065,1.3988769429808627,1,0.5436585497189178,0.7428266998126118,6.883436229583055,0.0641691269603632
3,0,Car,16.952088952458258,68.3875908683245,51.43550191586624,1,0.27786131277288795,1.474997167394367,6.614178926791742,0.7521174713538555
4,0,Car,32.035667995191105,45.47485195935995,13.439183964168848,1,0.24441188475184092,0.37612592316789417,18.227001963639207,0.29553002121214605
5,0,Car,26.315176072511512,60.7490188587571,34.433842786245584,1,0.49178508458310577,1.5725353383324245,10.942860290345497,0.5668213813675753
6,0,Car,20.409933882561976,24.194734665903532,3.784800783341556,1,0.587794082148029,1.6708194333816004,7.461371662356873,0.15643076213087356
7,0,Car,30.196384559170998,77.57856728704729,47.3821827278763,1,0.6545656537203135,1.7126458457343774,9.596451034332162,0.6107638280113913
8,0,Car,14.962041223064645,30.169429682781708,15.207388459717063,1,0.2540733227609815,1.7572654092032707,6.73395443460033,0.5040661563581436
9,0,Car,34.078765271790616,44.939258238724825,10.86049296693421,1,0.43653122321460863,1.527835446429217,15.798160913389774,0.2416704990821491
10,0,Car,7.947884623423222,26.305976141867433,18.358091518444212,1,0.5543871719392469,1.569623114626165,2.1519226156063027,0.6978677171848522
11,0,Car,26.807321009028843,74.14394826234133,47.336627253312486,1,0.2981260141061583,1.9757780282123156,9.20207376017105,0.6384422243852284
12,0,Car,9.68489504822453,89.19983252262642,79.51493747440189,1,0.6397357719861396,0.7718471813240932,2.8901243992415124,0.8914247395501795
13,0,Car,21.553836134717923,124.43241271499008,102.87857658027215,1,0.7942637710241387,0.5223418473494257,4.85006431312222,0.8267827838066071
14,0,Car,74.76135648375119,82.40898577274106,7.647629288989876,1,0.7657776864593403,1.9269822486124535,21.296975218750582,0.09280091506137102
15,0,Car,23.341305001123185,25.926536558437228,2.5852315573140423,1,0.6187966675688852,0.579991778379257,8.40219474350027,0.0997137257993195
16,0,Car,10.794113887509628,30.012235567021314,19.218121679511686,1,0.24492305593015962,1.07887270395344,5.060312239883004,0.6403428907051947
17,0,Car,24.65528273170515,24.852550424255035,0.19726769254988596,1,0.5103085027068877,1.964663675689626,9.542000465336583,0.007937523078410539
18,0,Car,12.764707513083493,56.613406600087174,43.84869908700368,1,0.347951129064411,1.5771293441717629,4.7320670188075455,0.774528538739023
19,0,Car,34.10257658364808,68.84185509578965,34.739278512141574,1,0.669828309703528,1.7560119850854852,8.472289605141738,0.5046243809642227
20,0,Car,23.91191626677115,70.60105258387387,46.689136317102715,1,0.2924731650713618,1.643399776714241,4.538351178004854,0.6613093517499069
21,0,Car,12.003557541805888,20.93653724119055,8.932979699384662,1,0.34893838036512786,1.4053167750372615,4.999083070743982,0.42666939601692655
22,1,Train,24.82281630275828,22.790116177128862,2.032700125629418,0,0.546612568572251,0.2593890457148341,9.483303402730765,-0.08188837643710666
23,0,Car,20.506461965717435,42.605103731763016,22.09864176604558,1,0.21900971823686655,1.8270282909824884,10.748760839101065,0.5186853177303866
24,0,Car,31.889124465267585,73.37246949500377,41.483345029736185,1,0.6861725258533488,1.818002086177829,9.616130718352418,0.5653802484126687
25,0,Car,8.772092235816759,37.96940413549884,29.197311899682084,1,0.35030118381841646,1.1094887892122776,3.9059445710705027,0.7689694522328455
26,0,Car,40.97300286395582,82.11281234583876,41.13980948188294,1,0.6828268402206054,0.3583455601470703,9.64442825861591,0.5010157161419863
27,0,Car,11.69128880630046,17.50333792670723,5.812049120406769,1,0.19903558507780217,1.3881451134370706,6.087213017336992,0.3320537571030114
28,0,Car,40.853316209549064,62.13650560802494,21.283189398475876,1,0.5326440367856863,1.7592026030950363,8.854001730394222,0.342523114073012
29,0,Car,10.61026079714597,87.93087947917536,77.32061868202939,1,0.37731367522175574,1.786316116814504,5.531324841219582,0.8793340762654512
30,0,Car,19.84784737262214,21.72725588509796,1.8794085124758197,1,0.36710778146290546,1.9913992517032453,4.953298325350842,0.08650004042916652
31,0,Car,61.01132369788367,85.42296702957876,24.41164333169509,1,0.6256304946171598,1.5921103046248544,22.06376127234957,0.28577376998907394
32,0,Car,47.72639067369246,67.6110085944226,19.884617920730143,1,0.5699177113158216,1.727750422631643,16.99180947152817,0.2941032582432216
33,0,Car,25.38053494262516,31.143829953238882,5.763295010613721,1,0.5993541985095784,1.7541161323397192,8.983733935830605,0.18505415099128977
34,0,Car,19.827637227483766,102.43040130647839,82.60276407899462,1,0.5021805634285508,1.5462957089523672,8.746207657287815,0.806428199298388
35,0,Car,14.94612498509515,93.01820759781849,78.07208261272334,1,0.5299172019013141,1.701926403802628,5.548190328555907,0.8393204365997085
36,0,Car,40.644913918668145,67.61359398418364,26.968680065515493,1,0.3362818020893248,1.6184000694524328,21.182091238888255,0.39886476189720194
37,0,Car,23.933673316827054,75.0364427413773,51.102769424550246,1,0.7810971971816065,1.801226262908808,6.294477157692763,0.6810393397869683
38,0,Car,29.782878954174723,40.21051811815017,10.427639163975446,1,0.6134834956966873,1.4921736637977918,9.573338331013092,0.25932615773156703
39,0,Car,31.997823460705384,61.8529547749322,29.855131314226817,1,0.3870124429272276,1.5724969239029707,14.679015168177777,0.48267914480176977
40,0,Car,24.94814521099509,30.286766678091876,5.338621467096786,1,0.26351920987081856,1.4628124197416368,14.025033695920586,0.1762691119801346
41,0,Car,6.264899214238857,6.803861803298267,0.5389625890594107,1,0.3454679706386181,0.21249864709241217,2.0160040302272626,0.07921421754894273
42,1,Train,57.8136973876019,55.17439981013006,2.6392975774718366,0,0.7635448125476383,1.9303495837779585,15.676208902914397,-0.0456517693337813
43,1,Train,36.82750441568075,26.929565316843224,9.897939098837526,0,0.7674519212756298,1.8768682468033566,9.578562781241011,-0.2687648608256793
44,0,Car,30.34741030804007,110.20079752755349,79.85338721951342,1,0.29520945260612863,1.4758318736163414,8.157767272428803,0.7246171444407895
