id,lat,lon,name,capacity,type,source
801518564,44.8601295,-0.5823898,Parking_801518564,,node,osm
921200530,44.9020562,-0.5093026,Super U,,node,osm
923920600,44.9130861,-0.5055038,Parking_923920600,,node,osm
1164443595,44.843018,-0.5155448,Parking_1164443595,,node,osm
1164443638,44.8439041,-0.5150861,Parking_1164443638,,node,osm
1198484824,44.7980745,-0.6571291,Parking_1198484824,,node,osm
1198484826,44.797904,-0.6563471,Parking_1198484826,,node,osm
1298571397,44.7848939,-0.6630742,Parking_1298571397,,node,osm
1304999647,44.8085039,-0.5762953,Parking_1304999647,,node,osm
1376217176,44.834929,-0.5795722,République,402.0,node,osm
1736220763,44.8773545,-0.5775271,Parking_1736220763,,node,osm
1736220777,44.8777184,-0.5790241,Parking_1736220777,25.0,node,osm
1851656696,44.8458983,-0.6319099,Parking_1851656696,,node,osm
1851656717,44.8483073,-0.6350057,Parking_1851656717,,node,osm
1879102351,44.8701881,-0.5647389,Parking_1879102351,,node,osm
1882510375,44.8073603,-0.5851801,Parking_1882510375,,node,osm
1882510376,44.8068921,-0.5852177,Parking_1882510376,,node,osm
1917131818,44.8424587,-0.647795,Parc-Relais Mérignac Centre,290.0,node,osm
1927278697,44.8186527,-0.5981226,Parking_1927278697,,node,osm
1927278698,44.8188459,-0.5969206,Parking_1927278698,,node,osm
1927278701,44.8191462,-0.5997946,Parking_1927278701,,node,osm
1993768490,44.8388652,-0.5863151,Parkint Front du Médoc,1092.0,node,osm
1998482319,44.8361026,-0.5849871,8 mai 1945,419.0,node,osm
2013877436,44.8201174,-0.5127472,Parking_2013877436,10.0,node,osm
2015363399,44.8816513,-0.5261291,Parking_2015363399,,node,osm
2023132968,44.8463904,-0.5947367,Parking_2023132968,,node,osm
2064644270,44.8631072,-0.5658275,Parking_2064644270,,node,osm
2066967058,44.9292351,-0.6551785,Parking_2066967058,,node,osm
2297083773,44.8988868,-0.6406775,Parking_2297083773,,node,osm
2353563056,44.838493,-0.5382171,Parking_2353563056,,node,osm
2414347684,44.8159805,-0.5475791,Parking_2414347684,,node,osm
2501517212,44.8602047,-0.5566396,Parking - Laser Quest,50.0,node,osm
2501535655,44.8632932,-0.572536,Parking Zenpark Bordeaux - Chartrons,50.0,node,osm
2503623658,44.8670469,-0.5146679,Parking_2503623658,,node,osm
2503639560,44.8675981,-0.5180587,Parking_2503639560,,node,osm
2503639561,44.8677305,-0.5186745,Parking_2503639561,,node,osm
2608384309,44.9066695,-0.5795541,Parking_2608384309,,node,osm
2611989507,44.8871413,-0.5516016,Parking_2611989507,,node,osm
2622302098,44.8059053,-0.5565182,Parking_2622302098,,node,osm
2622385647,44.803964,-0.5579095,Parking_2622385647,,node,osm
2688637094,44.7999393,-0.6733026,Parking_2688637094,,node,osm
2731863875,44.8795535,-0.5157964,Parking_2731863875,,node,osm
2980888453,44.7994886,-0.6720303,Parking_2980888453,14.0,node,osm
2980891116,44.7992761,-0.6715416,Parking_2980891116,,node,osm
2980891117,44.7993482,-0.6712204,Parking_2980891117,,node,osm
3111679283,44.81412,-0.5897428,Parking_3111679283,,node,osm
3188706677,44.8293372,-0.558751,Carrefour - Saint-Jean - Urbis Park,137.0,node,osm
3277566510,44.8629048,-0.6476829,Parking_3277566510,,node,osm
3277566511,44.8630784,-0.6472556,Parking_3277566511,,node,osm
3499067892,44.83637,-0.5313638,Parking_3499067892,1.0,node,osm
3525068613,44.7984432,-0.6748378,Parking_3525068613,,node,osm
3575304875,44.8082995,-0.6026209,Parking_3575304875,,node,osm
3575304876,44.8083315,-0.6031327,Parking_3575304876,,node,osm
3575304877,44.8083663,-0.603725,Parking_3575304877,,node,osm
3612894124,44.8388941,-0.6478805,Parking_3612894124,,node,osm
3718630010,44.7996145,-0.6702854,Parking_3718630010,,node,osm
3718630011,44.7996458,-0.6695653,Parking_3718630011,,node,osm
3741180951,44.8739867,-0.5969196,Parking_3741180951,,node,osm
3741180952,44.8740046,-0.5948898,Parking_3741180952,,node,osm
3741180953,44.8743499,-0.595651,Parking_3741180953,,node,osm
3878582367,44.8094037,-0.5696116,Parking_3878582367,30.0,node,osm
3891971708,44.836084,-0.6843369,Parking Zenpark Bordeaux - Aéroport Mérignac - Quality Suites Intérieur,10.0,node,osm
3891972222,44.8358995,-0.6846508,Parking Zenpark - Bordeaux Aéroport Mérignac - Quality Suites Extérieur,10.0,node,osm
4023403813,44.7622846,-0.5425687,Parking_4023403813,,node,osm
4235201904,44.8135661,-0.6522499,Parking_4235201904,,node,osm
4235201905,44.8134493,-0.6520107,Parking_4235201905,,node,osm
4445354736,44.8094057,-0.5999878,Parking_4445354736,1.0,node,osm
4445512312,44.8068327,-0.6016313,Parking_4445512312,30.0,node,osm
4446229920,44.8070117,-0.6115374,Parking_4446229920,40.0,node,osm
4446278548,44.806321,-0.5977069,Parking_4446278548,,node,osm
4451838481,44.8559289,-0.6433506,Parking_4451838481,10.0,node,osm
4574062180,44.8428493,-0.6357605,Parking_4574062180,,node,osm
4598790889,44.7959521,-0.6675588,Parking_4598790889,6.0,node,osm
4732210921,44.7840989,-0.6628594,Parking_4732210921,,node,osm
4732211825,44.7879783,-0.6569718,Parking_4732211825,,node,osm
4732211934,44.7885211,-0.6630184,Parking_4732211934,,node,osm
4845116129,44.8783962,-0.5305814,Parking_4845116129,,node,osm
5161807707,44.7996787,-0.612582,Parking_5161807707,,node,osm
5380742573,44.9045037,-0.6686512,Parking_5380742573,,node,osm
5443498041,44.805317,-0.5885378,Parking_5443498041,,node,osm
5443498042,44.8048456,-0.5880564,Parking_5443498042,,node,osm
5443498043,44.8049684,-0.589205,Parking_5443498043,,node,osm
5443498044,44.8051046,-0.5874056,Parking_5443498044,,node,osm
5579900307,44.7803912,-0.6268943,Parking_5579900307,,node,osm
5649578749,44.8340295,-0.5314315,Parking_5649578749,,node,osm
5652167357,44.7811906,-0.6052166,Parking_5652167357,,node,osm
6076750283,44.7691802,-0.6167771,Parking_6076750283,,node,osm
6076750284,44.7691294,-0.6171995,Parking_6076750284,,node,osm
6076750687,44.7721972,-0.6170505,Parking_6076750687,,node,osm
6076750688,44.7716236,-0.6184073,Parking_6076750688,,node,osm
6093827703,44.7668557,-0.6186199,Parking_6093827703,,node,osm
6177190318,44.7757407,-0.6217977,Parking_6177190318,,node,osm
6498183344,44.8966714,-0.5597984,Parking_6498183344,,node,osm
6581917874,44.838921,-0.5720577,Camille Jullian,338.0,node,osm
6807640816,44.8096322,-0.6087826,Parking_6807640816,,node,osm
6849549528,44.8605843,-0.4931289,Parking_6849549528,,node,osm
6849569490,44.8627768,-0.490001,Parking_6849569490,,node,osm
6853778110,44.8541802,-0.4810142,Parking_6853778110,7.0,node,osm
6924639550,44.8485048,-0.6147227,Parking_6924639550,30.0,node,osm
6957262217,44.7902113,-0.6221841,Parking_6957262217,,node,osm
6984516269,44.8410535,-0.5693673,Bourse - Jaures - Urbis Park,1661.0,node,osm
6987509147,44.8300038,-0.6043677,Parking_6987509147,,node,osm
6987547679,44.8311373,-0.6082936,Parking_6987547679,,node,osm
6990075285,44.8338199,-0.5892443,Parking_6990075285,,node,osm
7114537609,44.8329309,-0.6417985,Parking_7114537609,,node,osm
7274205044,44.8582029,-0.5794768,Parking_7274205044,,node,osm
7299140106,44.8721791,-0.5710535,Parking_7299140106,,node,osm
7299140107,44.872114,-0.5720301,Parking_7299140107,,node,osm
7299140108,44.8721172,-0.5731877,Parking_7299140108,,node,osm
7299140109,44.8724167,-0.5733361,Parking_7299140109,,node,osm
7327990889,44.7956786,-0.5973528,Parking_7327990889,,node,osm
7474717045,44.8847612,-0.6123189,Parking_7474717045,,node,osm
7702924122,44.8423512,-0.5799018,Clémenceau - Auditorium,,node,osm
7708114386,44.8627079,-0.5563225,Parking Bordeaux bassins à flot - EFFIA,,node,osm
7847104121,44.7812052,-0.5586421,Parking_7847104121,8.0,node,osm
7881407706,44.865483,-0.6653844,Parking_7881407706,,node,osm
7912622055,44.7945027,-0.5675453,Parking_7912622055,,node,osm
7924287220,44.8692752,-0.5010379,Parking_7924287220,,node,osm
7926268723,44.8665756,-0.7097972,Parking_7926268723,,node,osm
8214218556,44.8226995,-0.5636515,Parking_8214218556,,node,osm
8401735943,44.7982538,-0.658049,Parking_8401735943,,node,osm
8401735944,44.7971118,-0.6577838,Parking_8401735944,,node,osm
8401735949,44.7964612,-0.657139,Parking_8401735949,,node,osm
8414300987,44.8865962,-0.7040744,Parking_8414300987,,node,osm
8544474772,44.8256405,-0.6133958,Parking_8544474772,,node,osm
8544521712,44.8264355,-0.6086608,Parking_8544521712,,node,osm
8634552723,44.8537433,-0.5974125,Parking_8634552723,,node,osm
8634577158,44.8288234,-0.6183159,Parking_8634577158,2.0,node,osm
8663106869,44.8570224,-0.5821345,Parking_8663106869,,node,osm
9103557024,44.8892959,-0.5667689,Parking_9103557024,1.0,node,osm
9187787480,44.8639115,-0.5680684,Parking_9187787480,150.0,node,osm
9196566723,44.8885463,-0.5613555,Parking_9196566723,,node,osm
9198349361,44.8110815,-0.5928433,Talence 7e Art,321.0,node,osm
9201201240,44.8137199,-0.5727991,Parking_9201201240,,node,osm
9201201274,44.8231829,-0.5882974,Parking_9201201274,,node,osm
9203281577,44.8099028,-0.5736309,Parking_9203281577,0.0,node,osm
9203281611,44.7967316,-0.5990132,Parking_9203281611,,node,osm
9208537295,44.7778843,-0.6083372,Parking_9208537295,,node,osm
9219055351,44.8072797,-0.5547863,Parking_9219055351,4.0,node,osm
9318574999,44.7607887,-0.6309041,Parking_9318574999,4.0,node,osm
9507423634,44.8253819,-0.5481877,INDIGO Brienne,,node,osm
9520206397,44.830971,-0.5726154,Victoire,472.0,node,osm
9735128191,44.8414813,-0.5707578,Accès piéton au parking souterrain Jean Jaurès,,node,osm
9903534318,44.7978935,-0.6576449,Parking_9903534318,,node,osm
10103359401,44.9060871,-0.6397081,Parking_10103359401,,node,osm
10253281864,44.9223791,-0.6195925,Parking_10253281864,,node,osm
10592436223,44.8618723,-0.7274391,Parking_10592436223,20.0,node,osm
10592436227,44.8614285,-0.7276252,Parking_10592436227,20.0,node,osm
10592436228,44.8613028,-0.72663,Parking_10592436228,16.0,node,osm
10592436272,44.8638485,-0.7268332,Parking_10592436272,20.0,node,osm
10592436273,44.8636216,-0.7272717,Parking_10592436273,,node,osm
